"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2012-13","School","610","Berrien County","0194","Berrien Middle School","06,07,08",730,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","85","12","92","Too Few Students","Too Few Students"
"2012-13","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",722,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",790,"57","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","42","74","30","53","27","47"
"2012-13","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3101,"118","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","14","12","10","Too Few Students","Too Few Students","86","73","74","63","44","37"
"2012-13","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",498,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",491,"23","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","83","Too Few Students","Too Few Students"
"2012-13","School","611","Bibb County","0105","Howard High School","09,10,11,12",1228,"133","Too Few Students","Too Few Students","Too Few Students","Too Few Students","92","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students","36","27","87","65","46","35"
"2012-13","School","611","Bibb County","0107","Bloomfield Middle School","06,07,08",526,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",455,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","611","Bibb County","0109","Bruce Elementary","PK,KK,01,02,03,04,05",470,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","93","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","61","11","39"
"2012-13","School","611","Bibb County","0186","Central High School","09,10,11,12",1049,"87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","80","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","53","61","34","39"
"2012-13","School","611","Bibb County","0198","Westside High","09,10,11,12",1141,"203","Too Few Students","Too Few Students","Too Few Students","Too Few Students","187","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","5","120","59","83","41"
"2012-13","School","611","Bibb County","0203","Vineville Academy","KK,01,02,03,04,05",534,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
