"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","648","Douglas County","0198","Bright Star Elementary School",1
"2011","648","Douglas County","0298","Sweetwater Elementary School",3
"2011","648","Douglas County","0303","Mirror Lake Elementary School",3
"2011","648","Douglas County","0498","Eastside Elementary School",2
"2011","648","Douglas County","3052","Lithia Springs Elementary School",1
"2011","648","Douglas County","3550","Chapel Hill Middle School",1
"2011","648","Douglas County","4052","Mount Carmel Elementary School",1
"2011","648","Douglas County","ALL","All Schools",18
"2011","651","Effingham County","0203","Ebenezer Middle School",1
"2011","651","Effingham County","ALL","All Schools",1
"2011","654","Evans County","0196","Claxton Elementary School",1
"2011","654","Evans County","ALL","All Schools",1
"2011","656","Fayette County","0178","Booth Middle School",1
"2011","656","Fayette County","0186","Oak Grove Elementary School",1
"2011","656","Fayette County","0191","Braelinn Elementary School",4
"2011","656","Fayette County","0196","Kedron Elementary School",3
"2011","656","Fayette County","0198","Starrs Mill High School",1
"2011","656","Fayette County","0298","Rising Starr Middle School",1
"2011","656","Fayette County","0491","Flat Rock Middle School",3
"2011","656","Fayette County","ALL","All Schools",14
"2011","658","Forsyth County","0102","Matt Elementary School",1
"2011","658","Forsyth County","0105","Riverwatch Middle School",2
"2011","658","Forsyth County","0106","Shiloh Point Elementary",2
"2011","658","Forsyth County","0108","Johns Creek Elementary",3
"2011","658","Forsyth County","0176","Mashburn Elementary School",1
"2011","658","Forsyth County","0182","Coal Mountain Elementary School",1
"2011","658","Forsyth County","0190","South Forsyth High School",1
"2011","658","Forsyth County","0194","Chattahoochee Elementary School",1
"2011","658","Forsyth County","0198","Vickery Creek Elementary School",1
"2011","658","Forsyth County","0202","Otwell Middle School",4
"2011","658","Forsyth County","0211","Brookwood Elementary",4
"2011","658","Forsyth County","0213","George W. Whitlow Elementary",2
"2011","658","Forsyth County","0214","Lambert High School",2
"2011","658","Forsyth County","0215","Haw Creek Elementary",4
"2011","658","Forsyth County","0216","Lakeside Middle School",5
"2011","658","Forsyth County","0303","Liberty Middle School",1
"2011","658","Forsyth County","0407","Piney Grove Middle School",2
"2011","658","Forsyth County","1050","Big Creek Elementary School",2
"2011","658","Forsyth County","1052","Midway Elementary School",2
"2011","658","Forsyth County","5050","Forsyth Central High School",2
"2011","658","Forsyth County","ALL","All Schools",43
"2011","660","Fulton County","0100","Summit Hill Elementary",1
"2011","660","Fulton County","0101","Abbotts Hill Elementary School",4
"2011","660","Fulton County","0102","Creek View Elementary School",7
"2011","660","Fulton County","0103","Hembree Springs Elementary School",3
"2011","660","Fulton County","0104","Spalding Drive Elementary",2
"2011","660","Fulton County","0105","Hopewell Middle School",4
"2011","660","Fulton County","0106","Milton High School",1
"2011","660","Fulton County","0107","Renaissance Middle School",2
