"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","658","Forsyth County","0194","Chattahoochee Elementary School",2
"2016","658","Forsyth County","0197","Daves Creek Elementary School",1
"2016","658","Forsyth County","0198","Vickery Creek Elementary School",3
"2016","658","Forsyth County","0199","Vickery Creek Middle School",1
"2016","658","Forsyth County","0202","Otwell Middle School",4
"2016","658","Forsyth County","0204","Chestatee Elementary",1
"2016","658","Forsyth County","0211","Brookwood Elementary",5
"2016","658","Forsyth County","0213","George W. Whitlow Elementary",8
"2016","658","Forsyth County","0215","Haw Creek Elementary",5
"2016","658","Forsyth County","0216","Lakeside Middle School",3
"2016","658","Forsyth County","0303","Liberty Middle School",3
"2016","658","Forsyth County","0313","Kelly Mill Elementary",2
"2016","658","Forsyth County","0407","Piney Grove Middle School",10
"2016","658","Forsyth County","0498","North Forsyth Middle School",1
"2016","658","Forsyth County","0598","South Forsyth Middle School",1
"2016","658","Forsyth County","1050","Big Creek Elementary School",6
"2016","658","Forsyth County","1052","Midway Elementary School",2
"2016","658","Forsyth County","ALL","All Schools",80
"2016","659","Franklin County","5050","Lavonia Elementary School",1
"2016","659","Franklin County","ALL","All Schools",1
"2016","660","Fulton County","0101","Abbotts Hill Elementary School",15
"2016","660","Fulton County","0102","Creek View Elementary School",30
"2016","660","Fulton County","0103","Hembree Springs Elementary School",7
"2016","660","Fulton County","0104","Spalding Drive Elementary",3
"2016","660","Fulton County","0105","Hopewell Middle School",9
"2016","660","Fulton County","0107","Renaissance Middle School ",4
"2016","660","Fulton County","0116","Main Street Charter Academy",1
"2016","660","Fulton County","0175","Jackson Elementary School",3
"2016","660","Fulton County","0180","Dolvin Elementary School",10
"2016","660","Fulton County","0184","Crabapple Middle School",1
"2016","660","Fulton County","0187","Barnwell Elementary School",6
"2016","660","Fulton County","0190","Lake Windward Elementary School",16
"2016","660","Fulton County","0192","Hapeville Elementary School",10
"2016","660","Fulton County","0193","Crabapple Crossing Elementary School",6
"2016","660","Fulton County","0195","New Prospect Elementary School",8
"2016","660","Fulton County","0197","Northwood Elementary School",7
"2016","660","Fulton County","0202","Hillside Elementary School",5
"2016","660","Fulton County","0206","Oakley Elementary School",5
"2016","660","Fulton County","0207","Dunwoody Springs Elementary School",6
"2016","660","Fulton County","0276","Gullatt Elementary School",1
"2016","660","Fulton County","0284","Holcomb Bridge Middle School",16
"2016","660","Fulton County","0286","Ridgeview Charter School",12
"2016","660","Fulton County","0289","Woodland Middle School",9
"2016","660","Fulton County","0292","Palmetto Elementary School",2
"2016","660","Fulton County","0295","Findley Oaks Elementary School",9
"2016","660","Fulton County","0297","State Bridge Crossing Elementary School",5
"2016","660","Fulton County","0299","Manning Oaks Elementary School ",23
"2016","660","Fulton County","0301","Heritage Elementary School",2
"2016","660","Fulton County","0302","Elkins Pointe Middle School",14
"2016","660","Fulton County","0303","Cogburn Woods Elementary School ",8
"2016","660","Fulton County","0305","Autrey Mill Middle School",14
"2016","660","Fulton County","0373","Mountain Park Elementary School",2
"2016","660","Fulton County","0391","Bear Creek Middle School",2
"2016","660","Fulton County","0397","River Eves Elementary School",7
"2016","660","Fulton County","0398","Shakerag Elementary School",12
"2016","660","Fulton County","0402","River Trail Middle School",19
"2016","660","Fulton County","0405","Wilson Creek Elementary School ",23
"2016","660","Fulton County","0406","Amana Academy School",2
"2016","660","Fulton County","0491","Medlock Bridge Elementary School",19
"2016","660","Fulton County","0497","Webb Bridge Middle School",22
"2016","660","Fulton County","0501","Hamilton E. Holmes Elementary",5
"2016","660","Fulton County","0591","Taylor Road Middle School",23
"2016","660","Fulton County","0597","Northwestern Middle School",6
"2016","660","Fulton County","0603","Sandy Springs Middle School",12
