SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2016,District Level,728,Stewart County,All,All,American Literature and Composition,32,32,TFS,TFS,1174.4
2016,District Level,729,Sumter County,All,All,9th Grade Literature and Composition,330,330,114,TFS,1081.9
2016,District Level,729,Sumter County,All,All,American Literature and Composition,320,320,112,TFS,1192.3
2016,District Level,730,Talbot County,All,All,9th Grade Literature and Composition,47,47,15,TFS,1085.9
2016,District Level,730,Talbot County,All,All,American Literature and Composition,34,34,TFS,TFS,1130.1
2016,District Level,731,Taliaferro County,All,All,9th Grade Literature and Composition,12,12,TFS,TFS,1206.7
2016,District Level,731,Taliaferro County,All,All,American Literature and Composition,,,,,
2016,District Level,732,Tattnall County,All,All,9th Grade Literature and Composition,277,277,160,TFS,1190.1
2016,District Level,732,Tattnall County,All,All,American Literature and Composition,234,234,114,TFS,1252.9
2016,District Level,733,Taylor County,All,All,9th Grade Literature and Composition,116,116,53,TFS,1137
2016,District Level,733,Taylor County,All,All,American Literature and Composition,96,96,50,TFS,1246.5
2016,District Level,734,Telfair County,All,All,9th Grade Literature and Composition,144,144,63,TFS,1136.7
2016,District Level,734,Telfair County,All,All,American Literature and Composition,113,113,50,TFS,1239.8
2016,District Level,735,Terrell County,All,All,9th Grade Literature and Composition,104,104,39,TFS,1116.2
2016,District Level,735,Terrell County,All,All,American Literature and Composition,94,94,24,TFS,1139.8
2016,District Level,736,Thomas County,All,All,9th Grade Literature and Composition,399,399,207,TFS,1170.2
2016,District Level,736,Thomas County,All,All,American Literature and Composition,406,406,244,TFS,1318.5
2016,District Level,737,Tift County,All,All,9th Grade Literature and Composition,566,566,333,TFS,1209.2
2016,District Level,737,Tift County,All,All,American Literature and Composition,462,462,266,TFS,1324.4
2016,District Level,738,Toombs County,All,All,9th Grade Literature and Composition,236,236,106,TFS,1143.8
2016,District Level,738,Toombs County,All,All,American Literature and Composition,175,175,83,TFS,1226.6
2016,District Level,739,Towns County,All,All,9th Grade Literature and Composition,102,102,81,TFS,1320.2
2016,District Level,739,Towns County,All,All,American Literature and Composition,86,86,61,TFS,1403.6
2016,District Level,740,Treutlen County,All,All,9th Grade Literature and Composition,92,92,51,TFS,1174.4
2016,District Level,740,Treutlen County,All,All,American Literature and Composition,58,58,31,TFS,1257.6
2016,District Level,741,Troup County,All,All,9th Grade Literature and Composition,1075,1075,595,TFS,1184.1
2016,District Level,741,Troup County,All,All,American Literature and Composition,838,838,456,TFS,1302.6
2016,District Level,742,Turner County,All,All,9th Grade Literature and Composition,99,98,41,TFS,1129
2016,District Level,742,Turner County,All,All,American Literature and Composition,100,100,33,TFS,1170.1
2016,District Level,743,Twiggs County,All,All,9th Grade Literature and Composition,52,52,22,TFS,1098.6
2016,District Level,743,Twiggs County,All,All,American Literature and Composition,54,54,19,TFS,1173.1
