"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED"
"School","0291","609","2014-15","Fitzgerald High School","Ben Hill County","09,10,11,12",1,0,45,9,2,44,0,74,15.5,1,,,,,175,21.5,126,15.5,3,0.4,0,0,674,82.8,73,9,78,9.6
"School","0296","609","2014-15","Ben Hill County Middle School","Ben Hill County","06,07,08",1,0,37,12,2,47,0,76,14.1,2,314,46,,,,,96,14.1,9,1.3,0,0,,,17,2.5,71,10.4
"District","ALL","609","2014-15","All Column Values","Ben Hill County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,42,11,3,43,1,82,13.7,5,314,46,220,13.8,175,21.5,425,13.7,103,3.3,37,17.7,674,82.8,92,3,229,7.4
"School","0101","610","2014-15","Berrien High School","Berrien County","09,10,11,12",1,0,13,8,2,76,3,83,11.6,1,,,,,208,25.7,94,11.6,6,0.7,0,0,517,63.8,23,2.8,89,11
"School","0106","610","2014-15","Berrien Academy Performance Learning Center","Berrien County","09,10,11,12",0,1,7,6,1,85,0,83,1.4,0,,,,,11,15.5,1,1.4,0,0,0,0,23,32.4,66,93,,
"School","0194","610","2014-15","Berrien Middle School","Berrien County","06,07,08",1,0,12,9,2,76,2,83,10.9,2,126,18.1,,,,,76,10.9,10,1.4,0,0,,,13,1.9,52,7.5
"School","0195","610","2014-15","Berrien Elementary School","Berrien County","03,04,05",1,0,13,9,2,75,3,84,10.3,3,,,65,9.1,,,74,10.3,11,1.5,0,0,,,2,0.3,54,7.5
"School","5050","610","2014-15","Berrien Primary School","Berrien County","PK,KK,01,02",0,0,14,9,3,74,2,83,11.5,6,,,153,20.1,,,88,11.5,42,5.5,42,30.7,,,0,0,8,1
"District","ALL","610","2014-15","All Column Values","Berrien County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,13,9,2,75,2,83,10.9,3,126,18.1,218,14.7,219,24.9,333,10.9,69,2.3,42,30.7,540,61.3,104,3.4,203,6.6
"School","0103","611","2014-15","Skyview Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,33,2,6,58,0,99,12.9,1,,,74,15.6,,,61,12.9,0,0,3,6.1,,,0,0,32,6.8
"School","0104","611","2014-15","Burdell Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,92,4,1,2,0,98,9.6,2,,,203,38.1,,,51,9.6,11,2.1,4,44.4,,,1,0.2,7,1.3
"School","0105","611","2014-15","Howard High School","Bibb County","09,10,11,12",5,0,57,4,2,32,0,98,12.8,2,,,,,203,17.1,152,12.8,12,1,0,0,559,47.1,44,3.7,209,17.6
"School","0107","611","2014-15","Bloomfield Middle School","Bibb County","06,07,08",0,0,91,5,2,2,0,99,13.9,1,59,12.6,,,,,65,13.9,1,0.2,0,0,,,3,0.6,,
"School","0108","611","2014-15","Ballard Hudson Middle School","Bibb County","06,07,08",0,0,97,1,1,1,0,98,14.6,0,27,6.9,,,,,57,14.6,0,0,0,0,,,13,3.3,,
"School","0109","611","2014-15","Bruce Elementary","Bibb County","PK,KK,01,02,03,04,05",0,0,91,3,2,4,0,99,7.1,0,,,179,37.6,,,34,7.1,0,0,4,13.3,,,4,0.8,,
"School","0117","611","2014-15","Academy For Classical Education","Bibb County","KK,01,02,03,04,05,06,07,08,09",7,1,16,3,2,72,0,99,4.6,1,0,0,0,0,,,35,4.6,0,0,0,0,,,0,0,180,23.7
"School","0186","611","2014-15","Central High School","Bibb County","09,10,11,12",1,0,86,1,2,9,0,99,9.4,0,,,,,3,0.3,102,9.4,0,0,0,0,595,55,25,2.3,163,15.1
"School","0198","611","2014-15","Westside High","Bibb County","09,10,11,12",1,0,87,3,1,7,0,98,10.7,1,,,,,74,6.7,119,10.7,0,0,0,0,776,70,17,1.5,78,7
"School","0203","611","2014-15","Vineville Academy","Bibb County","PK,KK,01,02,03,04,05",1,0,77,4,1,17,0,99,3,2,,,149,27.7,,,16,3,7,1.3,0,0,,,0,0,18,3.3
"School","0204","611","2014-15","Rutland High School","Bibb County","09,10,11,12",2,0,47,7,2,42,0,98,7.9,2,,,,,99,9.3,84,7.9,19,1.8,0,0,718,67.6,27,2.5,129,12.1
"School","0205","611","2014-15","Howard Middle School","Bibb County","06,07,08",5,0,64,3,2,25,0,98,12.4,2,44,4.8,,,,,114,12.4,8,0.9,0,0,,,17,1.8,132,14.3
"School","0286","611","2014-15","Northeast High School","Bibb County","09,10,11,12",0,0,96,1,1,2,0,99,9.4,0,,,,,94,14.9,59,9.4,0,0,0,0,497,78.9,25,4,,
"School","0298","611","2014-15","Miller Magnet Middle School","Bibb County","06,07,08",1,0,89,3,2,6,0,98,8.4,0,0,0,,,,,71,8.4,1,0.1,0,0,,,6,0.7,85,10
"School","0303","611","2014-15","William S. Hutchings Career Center","Bibb County","09,10,11,12",0,0,76,8,0,15,0,99,9.7,1,,,,,31,14.3,21,9.7,0,0,0,0,180,82.9,0,0,,
