"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2015-16","655","Fannin County","ALL","All Column Values","School Administration",1080635.32,703348.91,1783984.23,5.27,4.38,5.54,4.56
"2015-16","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",11795746.89,6142263.92,17938010.81,52.97,44.08,55.75,45.89
"2015-16","656","Fayette County","ALL","All Column Values","General Administration",778789.26,456622.95,1235412.21,0.65,0.54,0.67,0.54
"2015-16","656","Fayette County","ALL","All Column Values","School Administration",6255528.48,2985583.6,9241112.08,4.83,4.02,5.01,4
"2015-16","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",79309456.69,31594241.39,110903698.08,58.02,48.22,60.14,48.05
"2015-16","657","Floyd County","ALL","All Column Values","General Administration",615476.39,637958.8,1253435.19,1.28,1.12,1.33,1
"2015-16","657","Floyd County","ALL","All Column Values","School Administration",3524301.82,1680625.01,5204926.83,5.3,4.64,5.51,4.17
"2015-16","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",39788375.44,16509099.43,56297474.87,57.28,50.2,59.61,45.13
"2015-16","658","Forsyth County","ALL","All Column Values","General Administration",1272720.53,583549.74,1856270.27,0.51,0.32,0.53,0.33
"2015-16","658","Forsyth County","ALL","All Column Values","School Administration",10833607.06,5447259.44,16280866.5,4.44,2.8,4.65,2.92
"2015-16","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",159940173.98,67775148.56,227715322.54,62.14,39.18,64.99,40.79
"2015-16","659","Franklin County","ALL","All Column Values","General Administration",307617.04,174643.25,482260.29,1.5,1.31,1.46,1.23
"2015-16","659","Franklin County","ALL","All Column Values","School Administration",1110907.1,584538.54,1695445.64,5.26,4.6,5.12,4.33
"2015-16","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",13705210.02,5921180.84,19626390.86,60.92,53.22,59.26,50.08
"2015-16","660","Fulton County","ALL","All Column Values","General Administration",3913682.2,10639212.66,14552894.86,1.51,1.22,1.52,1.19
"2015-16","660","Fulton County","ALL","All Column Values","School Administration",25086947.78,11896686.97,36983634.75,3.84,3.11,3.85,3.02
"2015-16","660","Fulton County","ALL","All Column Values","Teachers and Paraprofessionals",353064941.11,140250132.77,493315073.88,51.18,41.43,51.38,40.22
"2015-16","661","Gilmer County","ALL","All Column Values","General Administration",291392.59,192013.3,483405.89,1.21,0.86,1.27,1
"2015-16","661","Gilmer County","ALL","All Column Values","School Administration",1266820.54,695869.44,1962689.98,4.9,3.49,5.14,4.07
"2015-16","661","Gilmer County","ALL","All Column Values","Teachers and Paraprofessionals",14609367.96,7009740.32,21619108.28,53.96,38.41,56.66,44.82
"2015-16","662","Glascock County","ALL","All Column Values","General Administration",163550.16,71780.87,235331.03,4,3.72,4.26,3.97
"2015-16","662","Glascock County","ALL","All Column Values","School Administration",182887.68,52883.16,235770.84,4.01,3.73,4.27,3.97
"2015-16","662","Glascock County","ALL","All Column Values","Teachers and Paraprofessionals",2000994.3,754267.85,2755262.15,46.81,43.61,49.91,46.44
"2015-16","663","Glynn County","ALL","All Column Values","General Administration",538956.72,450281.54,989238.26,0.78,0.48,0.8,0.63
"2015-16","663","Glynn County","ALL","All Column Values","School Administration",3530518.87,1663708.67,5194227.54,4.08,2.53,4.22,3.3
"2015-16","663","Glynn County","ALL","All Column Values","Teachers and Paraprofessionals",49724331.22,21746310.27,71470641.49,56.2,34.81,58.12,45.35
"2015-16","664","Gordon County","ALL","All Column Values","General Administration",299640.58,179382,479022.58,0.82,0.71,0.86,0.74
"2015-16","664","Gordon County","ALL","All Column Values","School Administration",2067478.03,1069765.92,3137243.95,5.37,4.62,5.66,4.83
"2015-16","664","Gordon County","ALL","All Column Values","Teachers and Paraprofessionals",22446947.18,9938987,32385934.18,55.41,47.71,58.41,49.86
"2015-16","665","Grady County","ALL","All Column Values","General Administration",241448.28,89335.49,330783.77,0.89,0.78,0.92,0.74
"2015-16","665","Grady County","ALL","All Column Values","School Administration",1442723.98,575224.58,2017948.56,5.42,4.75,5.59,4.49
"2015-16","665","Grady County","ALL","All Column Values","Teachers and Paraprofessionals",15645385.47,6189219.27,21834604.74,58.6,51.37,60.53,48.58
"2015-16","666","Greene County","ALL","All Column Values","General Administration",447805.9,241728.02,689533.92,2.36,1.72,2.4,1.89
"2015-16","666","Greene County","ALL","All Column Values","School Administration",916752.84,450817.77,1367570.61,4.68,3.4,4.75,3.75
"2015-16","666","Greene County","ALL","All Column Values","Teachers and Paraprofessionals",9214640.06,4415426.84,13630066.9,46.69,33.93,47.38,37.4
"2015-16","667","Gwinnett County","ALL","All Column Values","General Administration",2816591.11,2438567.69,5255158.8,0.34,0.24,0.35,0.28
"2015-16","667","Gwinnett County","ALL","All Column Values","School Administration",58861137.72,28839362.02,87700499.74,5.62,3.95,5.8,4.71
"2015-16","667","Gwinnett County","ALL","All Column Values","Teachers and Paraprofessionals",623642603.94,251566839.21,875209443.15,56.07,39.46,57.93,47.03
