"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","692","Lowndes County","5050","Lowndes High School",625,323,51.68
"2013-14","692","Lowndes County","ALL","All Schools",625,323,51.68
"2013-14","693","Lumpkin County","0101","Lumpkin County High School",203,95,46.8
"2013-14","693","Lumpkin County","ALL","All Schools",203,95,46.8
"2013-14","694","Macon County","2060","Macon County High School",105,21,20
"2013-14","694","Macon County","ALL","All Schools",105,21,20
"2013-14","695","Madison County","5050","Madison County High School",266,105,39.47
"2013-14","695","Madison County","ALL","All Schools",266,105,39.47
"2013-14","696","Marion County","0275","Marion County Middle/High School",87,35,40.23
"2013-14","696","Marion County","ALL","All Schools",87,35,40.23
"2013-14","697","McDuffie County","0192","Thomson High School",201,81,40.3
"2013-14","697","McDuffie County","ALL","All Schools",201,81,40.3
"2013-14","698","McIntosh County","0104","McIntosh Academy",95,60,63.16
"2013-14","698","McIntosh County","ALL","All Schools",95,60,63.16
"2013-14","699","Meriwether County","0300","Greenville High School",53,20,37.74
"2013-14","699","Meriwether County","4050","Manchester High School",103,53,51.46
"2013-14","699","Meriwether County","ALL","All Schools",156,73,46.79
"2013-14","700","Miller County","0210","Miller County High School",63,38,60.32
"2013-14","700","Miller County","ALL","All Schools",63,38,60.32
"2013-14","701","Mitchell County","0105","Baconton Community Charter School",27,19,70.37
"2013-14","701","Mitchell County","0282","Mitchell County High School",71,14,19.72
"2013-14","701","Mitchell County","ALL","All Schools",98,33,33.67
"2013-14","702","Monroe County","0184","Mary Persons High School",220,101,45.91
"2013-14","702","Monroe County","ALL","All Schools",220,101,45.91
"2013-14","703","Montgomery County","0114","Z - Montgomery Academy",12,5,41.67
"2013-14","703","Montgomery County","0201","Montgomery County High School",62,24,38.71
"2013-14","703","Montgomery County","ALL","All Schools",74,29,39.19
"2013-14","704","Morgan County","1050","Morgan County High School",212,96,45.28
"2013-14","704","Morgan County","ALL","All Schools",212,96,45.28
"2013-14","705","Murray County","0108","Pleasant Valley Innovative School",43,,
"2013-14","705","Murray County","0112","North Murray High School",207,118,57
"2013-14","705","Murray County","0190","Murray County High School",163,73,44.79
"2013-14","705","Murray County","ALL","All Schools",413,191,46.25
"2013-14","706","Muscogee County","0112","Early College Academy of Columbus at Waverly Terrace",37,10,27.03
"2013-14","706","Muscogee County","0203","Northside High School",258,134,51.94
"2013-14","706","Muscogee County","0278","Shaw High School",278,101,36.33
"2013-14","706","Muscogee County","0378","Spencer High School",139,24,17.27
"2013-14","706","Muscogee County","1064","Kendrick High School",134,20,14.93
"2013-14","706","Muscogee County","2062","Hardaway High School",312,105,33.65
"2013-14","706","Muscogee County","3054","Columbus High School",304,267,87.83
"2013-14","706","Muscogee County","5052","Carver High School",172,43,25
"2013-14","706","Muscogee County","5062","Jordan Vocational High School",143,35,24.48
"2013-14","706","Muscogee County","ALL","All Schools",1777,739,41.59
"2013-14","707","Newton County","0173","Newton High School",390,158,40.51
