"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Essay Analysis Score - New",,15889,29,29,4,4,4
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Essay Reading Score - New",,15889,29,29,5,5,5
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Essay Total",,15889,29,29,14,14,14
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Essay Writing Score - New",,15889,29,29,5,5,5
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Evidence Based Reading and Writing - New",,27919,33,33,550,552,552
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Math Section Score - New",,27919,33,33,530,503,503
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Reading Test  Score - New",,27919,33,33,276,275,275
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","WritLang Test  Score - New",,27919,33,33,274,276,276
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Combined Test Score",,27919,12,12,1080,1004,1004
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Essay Analysis Score - New",,15889,5,5,4,,
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Essay Reading Score - New",,15889,5,5,5,,
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Essay Total",,15889,5,5,14,,
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Essay Writing Score - New",,15889,5,5,5,,
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Evidence Based Reading and Writing - New",,27919,12,12,550,508,508
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Math Section Score - New",,27919,12,12,530,497,497
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Reading Test  Score - New",,27919,12,12,276,258,258
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","WritLang Test  Score - New",,27919,12,12,274,249,249
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Combined Test Score",,27919,190,150,1080,1069,1105
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Analysis Score - New",,15889,115,94,4,4,4
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Reading Score - New",,15889,115,94,5,5,5
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Total",,15889,115,94,14,13,14
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Writing Score - New",,15889,115,94,5,5,5
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Evidence Based Reading and Writing - New",,27919,190,150,550,551,569
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Math Section Score - New",,27919,190,150,530,518,536
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Reading Test  Score - New",,27919,190,150,276,279,289
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","WritLang Test  Score - New",,27919,190,150,274,272,280
