SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
643:2050,West Bainbridge Middle School,640,5
643:2052,Hutto Middle School,684,14
643:3050,Bainbridge High School,315,16
643:3052,John Johnson Elementary School,368,6
643:4052,Jones-Wheat Elementary School,390,1
643:5052,West Bainbridge Elementary School,362,2
643:ALL,Decatur County,3749,62
644:100,Narvie Harris Elementary School,761,0
644:101,Avondale Middle School,937,18
644:102,Wynbrooke Elementary School,709,0
644:103,"Martin Luther King, Jr. High School",381,0
644:104,KIPP: PATH Academy Elementary School,129,0
644:1050,Hooper Alexander Elementary School,433,0
644:1051,Avondale High School,208,0
644:1052,Brockett Elementary School,337,0
644:1053,Chapel Hill Elementary School,634,9
644:1054,Columbia Elementary School,407,0
644:1055,Dresden Elementary School,467,0
644:1056,Evansdale Elementary School,434,0
644:1057,McNair Middle School,1194,25
644:1059,Idlewood Elementary School,439,0
644:1061,Livsey Elementary School,236,0
644:1062,Medlock Elementary School,204,12
644:1063,Nancy Creek Elementary School,272,0
644:1064,Peachcrest Elementary School,238,0
644:1067,Sky Haven Elementary School,453,0
644:1068,Leslie J. Steele Elementary School,241,0
644:1070,Tucker High School,285,0
644:1071,Woodward Elementary School,496,0
644:172,Cedar Grove High School,323,1
644:173,Vanderlyn Elementary School,572,0
644:175,Austin Elementary School,425,0
644:176,Redan High School,435,5
644:177,Margaret Harris High School,25,23
644:181,Eldridge L. Miller Elementary School,552,25
644:188,Panola Way Elementary School,842,5
644:189,Peachtree Middle School,1073,18
644:190,Pine Ridge Elementary School,847,1
644:191,Browns Mill Elementary School,829,0
644:193,Chapel Hill Middle School,902,19
644:197,Marbut Elementary School,716,0
644:199,DeKalb Alternative Night School,20,0
644:200,Cedar Grove Middle School,1401,15
644:201,Freedom Middle School,1165,21
644:202,Lithonia High School,366,2
644:203,Lithonia Middle School,1545,23
644:205,Redan Middle School,1284,9
644:2050,Allgood Elementary School,483,14
644:2054,Columbia High School,302,4
644:2055,Druid Hills High School,231,2
644:2056,Fernbank Elementary School,334,0
644:2057,Gresham Park Elementary School,312,0
644:2058,Henderson Mill Elementary School,396,0
644:2059,Indian Creek Elementary School,528,0
644:2060,Knollwood Elementary School,433,0
644:2061,McLendon Elementary School,431,2
644:2062,Midvale Elementary School,299,24
644:2065,Cary Reynolds Elementary School,469,0
644:2068,Stone Mountain Elementary School,617,0
644:2069,Tilson Elementary School,324,0
644:2070,Wadsworth Elementary School,242,7
644:272,Rockbridge Elementary School,556,15
644:275,Cedar Grove Elementary School,940,1
644:276,Stone Mountain High School,327,2
644:288,Kittredge Magnet School,383,0
644:290,Sequoyah Middle School,960,0
644:291,Salem Middle School,1438,17
644:293,Shadow Rock Elementary School,686,0
644:297,"Edward L. Bouie, Sr. Elementary School",644,0
