"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"601:1050","Altamaha Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:177","Appling County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:195","Appling County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:2050","Appling County High School","57.6","137","238","","","0","52.3","34","65","","","6","","","0","60","99","165","","","2","57.4","70","122","57.8","67","116","12","3","25","62.9","134","213","","","1","36.8","35","95","71.3","102","143","","","4"
"601:277","Appling County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:5050","Fourth District Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:ALL","Appling County","57.6","137","238","","","0","52.3","34","65","","","6","","","0","60","99","165","","","2","57.4","70","122","57.8","67","116","12","3","25","62.9","134","213","","","1","36.8","35","95","71.3","102","143","","","4"
"602:103","Atkinson County High School","53.6","60","112","","","0","35.7","10","28","46.7","7","15","","","0","62.3","43","69","","","0","60.3","38","63","44.9","22","49","0","0","11","59.4","60","101","","","2","45.1","41","91","90.5","19","21","","","7"
"602:187","Willacoochee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"602:190","Pearson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"602:ALL","Atkinson County","53.6","60","112","","","0","35.7","10","28","46.7","7","15","","","0","62.3","43","69","","","0","60.3","38","63","44.9","22","49","0","0","11","59.4","60","101","","","2","45.1","41","91","90.5","19","21","","","7"
"603:102","Bacon County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:202","Bacon County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:302","Bacon County High School","56.3","98","174","","","0","38","19","50","","","4","","","0","64.2","77","120","","","0","55.3","57","103","57.7","41","71","26.7","8","30","62.5","90","144","","","0","35.1","26","74","72","72","100","","","1"
"603:3050","Bacon County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:ALL","Bacon County","56.3","98","174","","","0","38","19","50","","","4","","","0","64.2","77","120","","","0","55.3","57","103","57.7","41","71","26.7","8","30","62.5","90","144","","","0","35.1","26","74","72","72","100","","","1"
"604:182","Baker County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"604:ALL","Baker County","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"605:100","Oak Hill MS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:1052","Davis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:189","Baldwin High School","54.8","205","374","","","9","48.9","108","221","","","2","","","0","60.3","85","141","","","1","48.3","87","180","60.8","118","194","14.7","11","75","64.9","194","299","","","1","56.1","69","123","54.2","136","251","","","0"
"605:194","Midway Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:195","Blandy Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:199","Creekside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:2054","Southside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:ALL","Baldwin County","54.8","205","374","","","9","48.9","108","221","","","2","","","0","60.3","85","141","","","1","48.3","87","180","60.8","118","194","14.7","11","75","64.9","194","299","","","1","56.1","69","123","54.2","136","251","","","0"
"606:101","Banks County Upper Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606:189","Banks County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606:199","Banks County High School","61.7","108","175","","","2","","","5","","","4","","","0","61.6","101","164","","","0","62.2","56","90","61.2","52","85","29.4","5","17","65.2","103","158","","","1","54.7","35","64","65.8","73","111","","","1"
"606:201","Banks County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606:2050","Banks County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606:ALL","Banks County","61.7","108","175","","","2","","","5","","","4","","","0","61.6","101","164","","","0","62.2","56","90","61.2","52","85","29.4","5","17","65.2","103","158","","","1","54.7","35","64","65.8","73","111","","","1"
"607:101","Apalachee High School","55.2","160","290","40","8","20","35.7","15","42","30.8","4","13","","","1","62.3","132","212","","","2","54.1","86","159","56.5","74","131","22.5","9","40","60.4","151","250","","","2","38","27","71","60.7","133","219","","","0"
"607:1050","Auburn Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:189","Kennedy Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:193","Bramlett Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:198","Westside Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:2050","Bethlehem Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:2052","Winder-Barrow Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:289","Russell Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:298","Yargo Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:3050","County Line Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:3052","Winder-Barrow High School","58.9","209","355","80","12","15","42.3","22","52","33.3","4","12","","","1","61.9","169","273","","","2","51.8","101","195","67.5","108","160","23.8","10","42","63.6","199","313","","","1","48.3","43","89","62.4","166","266","","","1"
"607:4050","Holsenbeck Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:5050","Statham Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607:ALL","Barrow County","57.2","369","645","57.1","20","35","39.4","37","94","32","8","25","","","2","62.1","301","485","","","4","52.8","187","354","62.5","182","291","23.2","19","82","62.2","350","563","","","3","43.8","70","160","61.6","299","485","","","1"
"608:101","Woodland Middle School at Euharlee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:1052","Cloverleaf Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:107","Euharlee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:175","White Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:177","Adairsville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:186","Mission Road Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:190","South Central Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:195","Cass Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:196","Allatoona Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:198","Woodland High School","64.6","246","381","","","3","52","13","25","","","8","","","1","65.7","226","344","","","0","58.1","118","203","71.9","128","178","27.3","12","44","69.4","234","337","","","1","66.7","38","57","64.2","208","324","","","0"
"608:2052","Emerson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:296","Kingston Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:301","Adairsville Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:377","Hamilton Crossing Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:396","Taylorsville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:401","Adairsville High School","60.3","114","189","","","1","50","6","12","","","4","","","1","60.6","103","170","","","1","52.9","54","102","69","60","87","19","4","21","65.5","110","168","","","2","50","19","38","63.3","95","150","","","0"
"608:4052","Pine Log Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"608:577","Cass High School","54.7","198","362","","","0","52.9","18","34","","","10","","","1","54.6","172","315","","","2","51.3","102","199","58.9","96","163","25.4","16","63","60.9","182","299","","","4","46","29","63","56.5","169","299","","","0"
"608:ALL","Bartow County","59.9","558","932","","","4","52.1","37","71","54.5","12","22","","","3","60.4","501","829","","","3","54.4","274","504","66.4","284","428","25","32","128","65.4","526","804","","","7","54.4","86","158","61.1","472","773","","","0"
"609:1050","Ben Hill County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"609:196","Ben Hill County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"609:291","Fitzgerald High School","53.5","131","245","","","1","42.5","48","113","","","6","","","1","64.8","79","122","","","2","46.2","55","119","60.3","76","126","3.3","1","30","60.5","130","215","","","4","42.4","36","85","59.4","95","160","","","1"
"609:296","Ben Hill County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"609:ALL","Ben Hill County","53.5","131","245","","","1","42.5","48","113","","","6","","","1","64.8","79","122","","","2","46.2","55","119","60.3","76","126","3.3","1","30","60.5","130","215","","","4","42.4","36","85","59.4","95","160","","","1"
"610:101","Berrien High School","49.8","111","223","","","0","31.7","13","41","","","9","","","0","55.5","96","173","","","0","46.5","53","114","53.2","58","109","5.6","1","18","53.7","110","205","","","0","57.4","39","68","46.5","72","155","","","7"
"610:194","Berrien Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"610:195","Berrien Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"610:5050","Berrien Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"610:ALL","Berrien County","49.8","111","223","","","0","31.7","13","41","","","9","","","0","55.5","96","173","","","0","46.5","53","114","53.2","58","109","5.6","1","18","53.7","110","205","","","0","57.4","39","68","46.5","72","155","","","7"
"611:101","Heritage Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:103","Skyview Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:104","Burdell Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1050","Alexander II Magnet School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1054","Bernd Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1058","Danforth Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1060","Hamilton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1067","Porter Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1068","Riley Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:1069","Taylor at Tinsley Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:179","Butler Early Childhood Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:183","Burke Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:185","Martin Luther King Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:186","Central High School","67.3","185","275","83.3","10","12","54.2","83","153","","","1","","","0","84.3","91","108","","","1","60.5","78","129","73.3","107","146","12.5","2","16","70.7","183","259","","","5","40","36","90","80.5","149","185","","","0"
"611:191","Brookdale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:194","Carter Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:197","Weaver Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:198","Westside High","68.1","241","354","","","8","61.7","121","196","","","4","","","4","75.2","106","141","","","1","65.7","113","172","70.3","128","182","13.6","3","22","71.7","238","332","","","8","52.3","56","107","74.9","185","247","","","0"
"611:203","Vineville Academy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:204","Rutland High School","71.7","66","92","","","1","63.4","26","41","","","0","","","0","78","39","50","","","0","65.9","27","41","76.5","39","51","8.3","1","12","81.3","65","80","","","0","60","21","35","78.9","45","57","","","0"
"611:2052","McEvoy Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:2060","Hartley Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:283","Union Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:286","Northeast High School","49.4","116","235","","","1","48.9","110","225","","","1","","","1","","","6","","","1","47.2","58","123","51.8","58","112","4.8","1","21","53.7","115","214","","","0","38.1","56","147","68.2","60","88","","","0"
"611:298","Miller Magnet Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:303","William S. Hutchings Career Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:305","Rutland Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3054","Bruce Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3060","Heard Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3062","Jones Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3066","Morgan Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3067","Ingram/Pye Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:3068","Springdale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:383","Williams Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:386","Southwest High School","51.6","146","283","","","0","52.8","134","254","","","2","","","0","40.7","11","27","","","0","45.3","58","128","56.8","88","155","39.1","9","23","52.7","137","260","","","0","47.6","89","187","59.4","57","96","","","0"
"611:4052","Barden Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:4062","Lane Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:4069","Weir Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:5050","Appling Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:5054","Burghard Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:5067","Rice Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611:ALL","Bibb County","60.9","754","1239","86.4","19","22","54.5","474","869","","","8","","","5","75","249","332","","","3","56.3","334","593","65","420","646","17","16","94","64.5","738","1145","53.8","7","13","45.6","258","566","73.7","496","673","","","0"
"612:1050","Bleckley County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"612:197","Bleckley County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"612:277","Bleckley County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"612:377","Bleckley County High School","68.2","103","151","","","2","50","22","44","","","1","","","0","76","79","104","","","0","64.6","51","79","72.2","52","72","14.3","3","21","76.9","100","130","","","0","49.2","32","65","82.6","71","86","","","0"
"612:ALL","Bleckley County","68.2","103","151","","","2","50","22","44","","","1","","","0","76","79","104","","","0","64.6","51","79","72.2","52","72","14.3","3","21","76.9","100","130","","","0","49.2","32","65","82.6","71","86","","","0"
"613:101","Waynesville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613:1050","Brantley County High School","55.9","128","229","","","0","37.5","6","16","","","1","","","0","56.9","120","211","","","1","50.4","60","119","61.8","68","110","10","2","20","60.3","126","209","","","0","59.5","44","74","54.2","84","155","","","0"
"613:194","Brantley County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613:2050","Hoboken Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613:294","Nahunta Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613:3050","Nahunta Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613:ALL","Brantley County","55.9","128","229","","","0","37.5","6","16","","","1","","","0","56.9","120","211","","","1","50.4","60","119","61.8","68","110","10","2","20","60.3","126","209","","","0","59.5","44","74","54.2","84","155","","","0"
