"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","OUT_OF_STATE_ENR_RANK"
2007,"632","Clinch County","ALL","All Clinch County High Schools","Clemson University",2
2007,"632","Clinch County","ALL","All Clinch County High Schools","Hutchinson Community College",2
2007,"632","Clinch County","ALL","All Clinch County High Schools","Mesabi Range College",1
2007,"632","Clinch County","ALL","All Clinch County High Schools","Reedley College",2
2007,"633","Cobb County","0101","Kennesaw Mountain High School","Auburn University",2
2007,"633","Cobb County","0101","Kennesaw Mountain High School","Jacksonville State University",1
2007,"633","Cobb County","0101","Kennesaw Mountain High School","Samford University",4
2007,"633","Cobb County","0101","Kennesaw Mountain High School","University Of Alabama",3
2007,"633","Cobb County","0101","Kennesaw Mountain High School","University Of South Carolina",5
2007,"633","Cobb County","0103","Kell High School","Jacksonville State University",1
2007,"633","Cobb County","0103","Kell High School","University Of Alabama",3
