"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2017","2017",2,,
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2018","2018",2,,
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2019","2019",2,,
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2020","2020",2,,
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2021","2021",2,,
"10403","Start month of the academic school year (tertiary education)","BOL","Bolivia (Plurinational State of)","2022","2022",2,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2017","2017",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2018","2018",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2019","2019",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2020","2020",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2021","2021",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2022","2022",10,,
"10403","Start month of the academic school year (tertiary education)","BIH","Bosnia and Herzegovina","2023","2023",10,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2017","2017",7,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2021","2021",7,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2022","2022",7,,
"10403","Start month of the academic school year (tertiary education)","BWA","Botswana","2023","2023",7,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2017","2017",3,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2018","2018",2,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2019","2019",2,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2020","2020",2,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2021","2021",2,,
"10403","Start month of the academic school year (tertiary education)","BRA","Brazil","2022","2022",2,,
